I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-194.0,-423.0,-656.0,-883.0,-1114.0,-1358,-257.0,-257.0,-557.0,-829.0,-864.0,-1095.0
-193.0,-423.0,-656.0,-883.0,-1115.0,-1358,-299.0,-299.0,-610.0,-845.0,-845.0,-1131.0
-191.0,-423.0,-656.0,-883.0,-1115.0,-1357,-492.0,-348.0,-793.0,-568.0,-568.0,-1152.0
-193.0,-424.0,-656.0,-883.0,-1115.0,-1357,-267.0,-432.0,-828.0,-828.0,-828.0,-1174.0
-193.0,-424.0,-656.0,-883.0,-1116.0,-1357,-301.0,-477.0,-1062.0,-874.0,-874.0,-1193.0
-194.0,-424.0,-656.0,-883.0,-1116.0,-1356,-283.0,-484.0,-768.0,-1087.0,-975.0,-1219.0
-194.0,-424.0,-656.0,-883.0,-1116.0,-1356,-275.0,-546.0,-763.0,-932.0,-1065.0,-1249.0
-194.0,-424.0,-656.0,-883.0,-1116.0,-1355,-264.0,-519.0,-752.0,-923.0,-1078.0,-1266.0
-194.0,-424.0,-656.0,-884.0,-1116.0,-1355,-252.0,-508.0,-739.0,-959.0,-1089.0,-1279.0
-195.0,-424.0,-656.0,-884.0,-1116.0,-1354,-236.0,-490.0,-719.0,-930.0,-1105.0,-1289.0
-195.0,-424.0,-656.0,-885.0,-1117.0,-1354,-221.0,-478.0,-700.0,-917.0,-1095.0,-1296.0
-195.0,-424.0,-656.0,-886.0,-1117.0,-1353,-205.0,-460.0,-680.0,-902.0,-1090.0,-1301.0
-195.0,-424.0,-656.0,-887.0,-1117.0,-1352,-193.0,-445.0,-661.0,-890.0,-1086.0,-1304.0
-195.0,-424.0,-655.0,-888.0,-1118.0,-1351,-183.0,-426.0,-646.0,-877.0,-1082.0,-1307.0
-195.0,-424.0,-655.0,-889.0,-1118.0,-1350,-173.0,-415.0,-633.0,-867.0,-1079.0,-1309.0
-195.0,-424.0,-655.0,-889.0,-1118.0,-1348,-165.0,-407.0,-621.0,-861.0,-1076.0,-1311.0
-195.0,-424.0,-654.0,-890.0,-1118.0,-1347,-161.0,-398.0,-615.0,-856.0,-1074.0,-1313.0
-195.0,-424.0,-654.0,-892.0,-1118.0,-1346,-157.0,-392.0,-611.0,-852.0,-1073.0,-1313.0
-195.0,-424.0,-653.0,-893.0,-1118.0,-1344,-154.0,-387.0,-608.0,-849.0,-1072.0,-1313.0
-195.0,-424.0,-653.0,-894.0,-1118.0,-1342,-153.0,-385.0,-605.0,-848.0,-1071.0,-1315.0
-195.0,-424.0,-652.0,-896.0,-1118.0,-1341,-152.0,-382.0,-603.0,-847.0,-1071.0,-1313.0
-195.0,-424.0,-652.0,-897.0,-1118.0,-1340,-152.0,-381.0,-601.0,-846.0,-1070.0,-1313.0
-195.0,-424.0,-652.0,-898.0,-1118.0,-1337,-151.0,-380.0,-601.0,-846.0,-1070.0,-1313.0
-196.0,-424.0,-651.0,-901.0,-1118.0,-1339,-150.0,-378.0,-600.0,-845.0,-1070.0,-1313.0
-196.0,-423.0,-651.0,-898.0,-1117.0,-1340,-149.0,-378.0,-599.0,-844.0,-1070.0,-1312.0
-196.0,-423.0,-651.0,-898.0,-1117.0,-1341,-149.0,-377.0,-599.0,-843.0,-1070.0,-1311.0
-196.0,-423.0,-650.0,-897.0,-1116.0,-1343,-148.0,-376.0,-598.0,-841.0,-1070.0,-1310.0
-196.0,-423.0,-649.0,-897.0,-1116.0,-1344,-148.0,-375.0,-597.0,-841.0,-1069.0,-1308.0
-196.0,-423.0,-648.0,-896.0,-1116.0,-1346,-147.0,-375.0,-597.0,-840.0,-1069.0,-1307.0
-196.0,-422.0,-646.0,-895.0,-1115.0,-1348,-147.0,-374.0,-596.0,-839.0,-1069.0,-1305.0
-196.0,-422.0,-645.0,-893.0,-1115.0,-1350,-146.0,-374.0,-596.0,-838.0,-1069.0,-1304.0
-195.0,-421.0,-643.0,-892.0,-1114.0,-1352,-146.0,-373.0,-596.0,-838.0,-1069.0,-1302.0
-195.0,-421.0,-643.0,-890.0,-1114.0,-1354,-146.0,-373.0,-596.0,-838.0,-1069.0,-1302.0
-195.0,-420.0,-642.0,-888.0,-1114.0,-1356,-146.0,-373.0,-595.0,-838.0,-1069.0,-1301.0
-195.0,-419.0,-639.0,-886.0,-1113.0,-1358,-146.0,-373.0,-595.0,-838.0,-1069.0,-1300.0
-195.0,-418.0,-641.0,-885.0,-1113.0,-1360,-145.0,-373.0,-595.0,-838.0,-1069.0,-1299.0
-195.0,-417.0,-642.0,-884.0,-1113.0,-1361,-145.0,-373.0,-595.0,-838.0,-1069.0,-1299.0
-195.0,-416.0,-643.0,-883.0,-1112.0,-1362,-145.0,-373.0,-595.0,-838.0,-1069.0,-1299.0
