I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-152.0,-288.0,-425.0,-570.0,-695.0,-824.0,-123,-258,-392,-526,-658,-792
-155.0,-287.0,-425.0,-568.0,-695.0,-823.0,-123,-258,-392,-526,-658,-792
-155.0,-286.0,-424.0,-567.0,-695.0,-823.0,-122,-257,-391,-526,-658,-792
-157.0,-283.0,-424.0,-567.0,-695.0,-823.0,-122,-257,-391,-526,-657,-792
-157.0,-285.0,-421.0,-566.0,-695.0,-820.0,-122,-258,-391,-526,-655,-791
-158.0,-286.0,-423.0,-565.0,-695.0,-822.0,-122,-258,-391,-526,-657,-789
-158.0,-286.0,-424.0,-564.0,-695.0,-823.0,-122,-259,-392,-526,-657,-791
-157.0,-287.0,-425.0,-565.0,-695.0,-824.0,-122,-259,-392,-526,-658,-792
-157.0,-288.0,-425.0,-565.0,-695.0,-824.0,-122,-259,-392,-526,-658,-792
-157.0,-288.0,-424.0,-566.0,-696.0,-824.0,-122,-259,-392,-526,-659,-792
-155.0,-288.0,-423.0,-566.0,-696.0,-824.0,-122,-260,-392,-526,-659,-792
-157.0,-287.0,-422.0,-566.0,-696.0,-823.0,-122,-259,-392,-526,-659,-792
-157.0,-286.0,-421.0,-569.0,-696.0,-822.0,-122,-259,-392,-526,-659,-792
-157.0,-286.0,-421.0,-567.0,-696.0,-821.0,-123,-259,-392,-527,-659,-792
-158.0,-282.0,-421.0,-566.0,-696.0,-821.0,-125,-259,-394,-527,-660,-792
-159.0,-284.0,-421.0,-565.0,-697.0,-819.0,-123,-259,-393,-528,-659,-792
-160.0,-285.0,-421.0,-564.0,-697.0,-821.0,-123,-258,-392,-527,-659,-792
-161.0,-286.0,-421.0,-562.0,-698.0,-821.0,-122,-258,-392,-527,-659,-792
-162.0,-287.0,-421.0,-561.0,-699.0,-822.0,-122,-258,-392,-526,-659,-792
-164.0,-288.0,-421.0,-560.0,-700.0,-823.0,-122,-257,-391,-526,-659,-792
-165.0,-290.0,-420.0,-557.0,-701.0,-824.0,-122,-257,-391,-525,-658,-791
-168.0,-291.0,-419.0,-560.0,-702.0,-824.0,-122,-257,-390,-525,-658,-791
-165.0,-292.0,-419.0,-561.0,-702.0,-823.0,-122,-257,-390,-524,-658,-791
-165.0,-292.0,-418.0,-564.0,-702.0,-822.0,-122,-257,-390,-524,-657,-791
-166.0,-290.0,-417.0,-561.0,-703.0,-822.0,-122,-257,-390,-524,-657,-790
-166.0,-289.0,-417.0,-560.0,-703.0,-821.0,-123,-257,-389,-523,-657,-790
-168.0,-286.0,-416.0,-559.0,-704.0,-819.0,-124,-257,-389,-523,-656,-789
-168.0,-289.0,-416.0,-558.0,-704.0,-821.0,-125,-257,-388,-522,-655,-789
-168.0,-290.0,-416.0,-558.0,-705.0,-821.0,-126,-257,-388,-522,-655,-788
-169.0,-292.0,-416.0,-556.0,-705.0,-822.0,-126,-257,-387,-521,-654,-787
-169.0,-292.0,-415.0,-558.0,-705.0,-822.0,-129,-257,-385,-519,-653,-786
-170.0,-292.0,-415.0,-558.0,-705.0,-822.0,-127,-257,-387,-521,-650,-783
-173.0,-292.0,-414.0,-558.0,-706.0,-821.0,-126,-257,-388,-521,-653,-785
-170.0,-291.0,-413.0,-559.0,-707.0,-820.0,-126,-257,-389,-522,-654,-786
-170.0,-291.0,-412.0,-560.0,-707.0,-820.0,-125,-257,-389,-523,-655,-787
-169.0,-289.0,-412.0,-560.0,-707.0,-819.0,-124,-257,-390,-523,-656,-788
-168.0,-288.0,-410.0,-561.0,-707.0,-818.0,-123,-258,-390,-524,-656,-789
-168.0,-287.0,-409.0,-562.0,-707.0,-817.0,-122,-258,-390,-525,-657,-790
-168.0,-286.0,-408.0,-563.0,-708.0,-815.0,-122,-258,-392,-526,-658,-790
-167.0,-284.0,-407.0,-563.0,-711.0,-814.0,-122,-259,-392,-527,-659,-791
-166.0,-282.0,-403.0,-564.0,-709.0,-813.0,-122,-260,-393,-528,-659,-792
-165.0,-281.0,-406.0,-568.0,-708.0,-811.0,-122,-260,-394,-529,-661,-792
-165.0,-279.0,-408.0,-565.0,-707.0,-808.0,-122,-260,-395,-529,-661,-793
-165.0,-276.0,-409.0,-564.0,-706.0,-811.0,-122,-260,-395,-530,-662,-794
-166.0,-279.0,-410.0,-563.0,-706.0,-812.0,-122,-260,-395,-530,-662,-794
-167.0,-281.0,-411.0,-562.0,-706.0,-813.0,-122,-260,-395,-530,-662,-794
-168.0,-282.0,-412.0,-560.0,-706.0,-815.0,-122,-261,-396,-530,-662,-794
-169.0,-284.0,-412.0,-559.0,-709.0,-816.0,-122,-261,-396,-531,-663,-795
-170.0,-286.0,-414.0,-558.0,-707.0,-817.0,-122,-263,-396,-532,-663,-795
-171.0,-288.0,-416.0,-556.0,-706.0,-819.0,-122,-261,-396,-531,-666,-797
-171.0,-290.0,-417.0,-555.0,-705.0,-821.0,-122,-261,-396,-531,-663,-796
-171.0,-292.0,-419.0,-554.0,-704.0,-823.0,-122,-260,-396,-530,-663,-795
-172.0,-294.0,-421.0,-553.0,-704.0,-825.0,-122,-260,-396,-530,-662,-795
-173.0,-296.0,-420.0,-551.0,-704.0,-827.0,-120,-261,-396,-530,-662,-794
-174.0,-298.0,-416.0,-551.0,-705.0,-828.0,-119,-264,-396,-530,-662,-794
-177.0,-299.0,-419.0,-550.0,-706.0,-828.0,-118,-260,-399,-533,-663,-795
-175.0,-299.0,-420.0,-547.0,-708.0,-828.0,-116,-259,-396,-531,-664,-796
-174.0,-300.0,-421.0,-550.0,-706.0,-829.0,-111,-254,-391,-528,-667,-800
-172.0,-301.0,-422.0,-551.0,-704.0,-829.0,-122,-246,-379,-521,-660,-796
-172.0,-301.0,-423.0,-552.0,-703.0,-829.0,-127,-218,-365,-506,-649,-789
-171.0,-301.0,-425.0,-553.0,-702.0,-829.0,-132,-256,-352,-495,-638,-780
-171.0,-301.0,-425.0,-553.0,-702.0,-829.0,-137,-256,-341,-482,-629,-770
-171.0,-301.0,-424.0,-553.0,-702.0,-829.0,-144,-256,-322,-468,-616,-761
-172.0,-301.0,-423.0,-552.0,-702.0,-829.0,-154,-256,-302,-437,-605,-750
-173.0,-301.0,-422.0,-551.0,-703.0,-830.0,-141,-209,-345,-470,-583,-730
-173.0,-301.0,-421.0,-551.0,-703.0,-829.0,-136,-247,-358,-484,-619,-756
-173.0,-301.0,-421.0,-550.0,-704.0,-829.0,-131,-260,-381,-500,-632,-765
-174.0,-301.0,-421.0,-547.0,-704.0,-829.0,-126,-271,-405,-519,-655,-780
-178.0,-301.0,-418.0,-550.0,-707.0,-829.0,-122,-279,-418,-543,-668,-793
-172.0,-301.0,-421.0,-553.0,-704.0,-829.0,-119,-290,-440,-555,-683,-806
-165.0,-303.0,-422.0,-557.0,-701.0,-829.0,-116,-277,-424,-572,-700,-823
