aVR,aVL,aVF,V4,V5,V6,V1,V2,V3,I,II,III
-133.0,-309.0,-485,-131.0,-302.0,-481.0,-133.0,-353.0,-490.0,-135.0,-310.0,-485.0
-133.0,-308.0,-485,-129.0,-301.0,-481.0,-137.0,-354.0,-491.0,-134.0,-310.0,-485.0
-133.0,-307.0,-484,-128.0,-299.0,-482.0,-138.0,-356.0,-492.0,-133.0,-311.0,-485.0
-132.0,-305.0,-483,-127.0,-301.0,-482.0,-138.0,-354.0,-493.0,-133.0,-312.0,-486.0
-132.0,-302.0,-482,-126.0,-302.0,-482.0,-138.0,-352.0,-493.0,-133.0,-311.0,-486.0
-130.0,-300.0,-481,-126.0,-302.0,-482.0,-139.0,-350.0,-495.0,-132.0,-310.0,-487.0
-132.0,-296.0,-478,-124.0,-302.0,-482.0,-139.0,-347.0,-496.0,-132.0,-309.0,-488.0
-132.0,-301.0,-480,-125.0,-303.0,-483.0,-140.0,-343.0,-497.0,-130.0,-308.0,-488.0
-132.0,-304.0,-481,-126.0,-303.0,-483.0,-141.0,-339.0,-499.0,-132.0,-307.0,-489.0
-134.0,-308.0,-482,-126.0,-304.0,-483.0,-142.0,-336.0,-500.0,-132.0,-306.0,-488.0
-134.0,-310.0,-484,-126.0,-304.0,-483.0,-143.0,-331.0,-502.0,-132.0,-305.0,-488.0
-131.0,-314.0,-485,-127.0,-305.0,-483.0,-143.0,-327.0,-505.0,-133.0,-304.0,-488.0
-129.0,-312.0,-486,-127.0,-306.0,-483.0,-144.0,-322.0,-507.0,-134.0,-302.0,-487.0
-125.0,-311.0,-487,-128.0,-306.0,-483.0,-146.0,-318.0,-510.0,-135.0,-304.0,-487.0
-122.0,-310.0,-488,-129.0,-306.0,-483.0,-148.0,-314.0,-513.0,-134.0,-305.0,-487.0
-117.0,-309.0,-489,-130.0,-306.0,-483.0,-150.0,-310.0,-516.0,-134.0,-307.0,-487.0
-121.0,-309.0,-488,-130.0,-306.0,-483.0,-152.0,-307.0,-519.0,-133.0,-309.0,-486.0
-123.0,-307.0,-488,-131.0,-306.0,-483.0,-154.0,-305.0,-522.0,-133.0,-310.0,-486.0
-125.0,-308.0,-487,-131.0,-307.0,-483.0,-155.0,-303.0,-524.0,-132.0,-311.0,-485.0
-127.0,-309.0,-486,-131.0,-307.0,-483.0,-156.0,-303.0,-527.0,-131.0,-312.0,-485.0
-128.0,-309.0,-485,-131.0,-307.0,-483.0,-157.0,-300.0,-529.0,-128.0,-314.0,-485.0
-129.0,-309.0,-484,-132.0,-308.0,-483.0,-159.0,-302.0,-530.0,-130.0,-313.0,-485.0
-130.0,-309.0,-485,-132.0,-307.0,-482.0,-157.0,-303.0,-529.0,-131.0,-312.0,-484.0
-131.0,-309.0,-489,-133.0,-307.0,-482.0,-157.0,-303.0,-528.0,-132.0,-312.0,-483.0
-132.0,-309.0,-495,-132.0,-307.0,-482.0,-156.0,-304.0,-526.0,-133.0,-311.0,-482.0
-132.0,-309.0,-501,-132.0,-307.0,-482.0,-154.0,-305.0,-523.0,-134.0,-310.0,-479.0
-133.0,-309.0,-511,-131.0,-306.0,-482.0,-152.0,-305.0,-519.0,-134.0,-308.0,-483.0
-133.0,-309.0,-506,-131.0,-306.0,-481.0,-149.0,-306.0,-515.0,-135.0,-307.0,-484.0
-133.0,-309.0,-502,-131.0,-306.0,-481.0,-147.0,-307.0,-512.0,-136.0,-309.0,-485.0
-133.0,-310.0,-496,-130.0,-306.0,-481.0,-144.0,-307.0,-508.0,-135.0,-313.0,-486.0
-133.0,-310.0,-492,-130.0,-306.0,-481.0,-141.0,-307.0,-505.0,-135.0,-320.0,-487.0
-132.0,-311.0,-489,-130.0,-306.0,-479.0,-140.0,-307.0,-498.0,-134.0,-327.0,-488.0
-132.0,-311.0,-487,-129.0,-305.0,-481.0,-137.0,-307.0,-493.0,-134.0,-338.0,-488.0
-132.0,-311.0,-487,-129.0,-305.0,-481.0,-135.0,-307.0,-491.0,-134.0,-331.0,-489.0
-130.0,-311.0,-486,-129.0,-303.0,-481.0,-132.0,-307.0,-488.0,-134.0,-327.0,-490.0
-132.0,-311.0,-486,-127.0,-305.0,-481.0,-131.0,-307.0,-484.0,-133.0,-323.0,-489.0
-132.0,-311.0,-486,-128.0,-305.0,-482.0,-129.0,-307.0,-481.0,-132.0,-318.0,-487.0
-132.0,-312.0,-486,-129.0,-305.0,-482.0,-128.0,-307.0,-479.0,-131.0,-316.0,-486.0
-132.0,-313.0,-486,-129.0,-306.0,-482.0,-128.0,-308.0,-478.0,-126.0,-314.0,-486.0
-133.0,-314.0,-486,-129.0,-306.0,-483.0,-128.0,-308.0,-477.0,-131.0,-313.0,-488.0
-133.0,-315.0,-485,-129.0,-307.0,-483.0,-127.0,-309.0,-476.0,-133.0,-311.0,-492.0
-133.0,-314.0,-485,-130.0,-307.0,-481.0,-125.0,-309.0,-477.0,-135.0,-310.0,-497.0
-133.0,-313.0,-485,-130.0,-307.0,-483.0,-127.0,-309.0,-477.0,-137.0,-310.0,-503.0
-133.0,-313.0,-485,-131.0,-309.0,-483.0,-127.0,-310.0,-478.0,-138.0,-310.0,-511.0
-134.0,-315.0,-486,-131.0,-307.0,-482.0,-128.0,-309.0,-478.0,-138.0,-310.0,-506.0
-134.0,-314.0,-486,-133.0,-307.0,-480.0,-128.0,-309.0,-303.0,-139.0,-311.0,-502.0
-134.0,-313.0,-487,-132.0,-306.0,-476.0,-129.0,-309.0,-305.0,-140.0,-312.0,-497.0
-135.0,-313.0,-486,-131.0,-304.0,-479.0,-130.0,-309.0,-306.0,-139.0,-311.0,-492.0
-135.0,-312.0,-486,-130.0,-299.0,-482.0,-130.0,-308.0,-307.0,-138.0,-311.0,-488.0
-136.0,-311.0,-485,-129.0,-295.0,-486.0,-130.0,-308.0,-307.0,-137.0,-310.0,-487.0
-136.0,-311.0,-485,-123.0,-286.0,-491.0,-131.0,-308.0,-307.0,-135.0,-310.0,-486.0
-136.0,-310.0,-484,-115.0,-298.0,-489.0,-132.0,-308.0,-307.0,-134.0,-310.0,-486.0
-136.0,-310.0,-484,-96.0,-307.0,-488.0,-132.0,-308.0,-307.0,-133.0,-310.0,-486.0
-137.0,-309.0,-484,-108.0,-314.0,-487.0,-132.0,-309.0,-307.0,-133.0,-310.0,-486.0
-137.0,-310.0,-483,-127.0,-324.0,-487.0,-132.0,-311.0,-483.0,-134.0,-310.0,-486.0
-137.0,-310.0,-482,-143.0,-328.0,-487.0,-132.0,-310.0,-483.0,-136.0,-312.0,-486.0
-137.0,-311.0,-481,-154.0,-322.0,-487.0,-132.0,-309.0,-483.0,-134.0,-311.0,-486.0
-138.0,-310.0,-480,-171.0,-319.0,-485.0,-132.0,-309.0,-483.0,-133.0,-310.0,-487.0
-137.0,-310.0,-479,-163.0,-317.0,-484.0,-132.0,-308.0,-484.0,-133.0,-309.0,-487.0
-137.0,-310.0,-478,-156.0,-315.0,-483.0,-133.0,-308.0,-484.0,-130.0,-308.0,-489.0
-137.0,-309.0,-478,-150.0,-313.0,-482.0,-133.0,-308.0,-485.0,-133.0,-307.0,-488.0
-137.0,-309.0,-478,-145.0,-312.0,-482.0,-134.0,-308.0,-486.0,-134.0,-306.0,-487.0
-136.0,-308.0,-478,-141.0,-310.0,-481.0,-133.0,-308.0,-485.0,-135.0,-306.0,-486.0
-135.0,-308.0,-477,-139.0,-309.0,-479.0,-133.0,-308.0,-484.0,-135.0,-305.0,-485.0
-135.0,-306.0,-477,-137.0,-308.0,-481.0,-132.0,-306.0,-484.0,-136.0,-305.0,-485.0
-134.0,-308.0,-475,-136.0,-308.0,-482.0,-132.0,-301.0,-484.0,-137.0,-305.0,-485.0
-134.0,-308.0,-477,-135.0,-308.0,-482.0,-132.0,-296.0,-484.0,-136.0,-304.0,-485.0
-133.0,-309.0,-477,-134.0,-308.0,-482.0,-132.0,-287.0,-483.0,-135.0,-301.0,-485.0
-133.0,-309.0,-478,-134.0,-308.0,-482.0,-132.0,-272.0,-483.0,-135.0,-303.0,-485.0
-131.0,-309.0,-478,-134.0,-308.0,-482.0,-131.0,-283.0,-482.0,-134.0,-304.0,-485.0
-133.0,-309.0,-479,-135.0,-309.0,-482.0,-131.0,-289.0,-482.0,-135.0,-304.0,-483.0
-133.0,-308.0,-479,-135.0,-309.0,-482.0,-128.0,-296.0,-482.0,-136.0,-303.0,-482.0
-134.0,-308.0,-480,-136.0,-310.0,-482.0,-131.0,-305.0,-482.0,-138.0,-301.0,-481.0
-134.0,-308.0,-481,-137.0,-310.0,-482.0,-132.0,-307.0,-483.0,-136.0,-303.0,-477.0
-133.0,-308.0,-482,-138.0,-311.0,-482.0,-133.0,-305.0,-483.0,-135.0,-303.0,-479.0
-133.0,-306.0,-482,-139.0,-311.0,-482.0,-135.0,-302.0,-483.0,-135.0,-304.0,-480.0
-132.0,-308.0,-483,-140.0,-312.0,-482.0,-134.0,-300.0,-483.0,-134.0,-304.0,-480.0
-132.0,-308.0,-483,-141.0,-312.0,-482.0,-133.0,-295.0,-483.0,-134.0,-305.0,-480.0
-132.0,-308.0,-483,-142.0,-313.0,-482.0,-132.0,-301.0,-483.0,-134.0,-306.0,-479.0
-132.0,-308.0,-484,-144.0,-314.0,-482.0,-132.0,-303.0,-483.0,-135.0,-307.0,-479.0
-132.0,-308.0,-484,-145.0,-314.0,-481.0,-131.0,-307.0,-483.0,-138.0,-308.0,-479.0
-132.0,-309.0,-485,-147.0,-314.0,-481.0,-131.0,-310.0,-483.0,-136.0,-308.0,-478.0
-132.0,-309.0,-485,-148.0,-314.0,-480.0,-133.0,-312.0,-484.0,-135.0,-308.0,-477.0
-132.0,-309.0,-485,-149.0,-316.0,-480.0,-131.0,-314.0,-484.0,-135.0,-309.0,-475.0
-132.0,-310.0,-485,-150.0,-314.0,-479.0,-131.0,-315.0,-484.0,-134.0,-309.0,-477.0
-132.0,-310.0,-485,-152.0,-314.0,-478.0,-129.0,-316.0,-478.0,-134.0,-310.0,-478.0
-129.0,-313.0,-485,-150.0,-313.0,-476.0,-126.0,-316.0,-469.0,-134.0,-310.0,-479.0
-132.0,-311.0,-485,-149.0,-311.0,-478.0,-121.0,-317.0,-461.0,-134.0,-311.0,-480.0
-132.0,-310.0,-486,-149.0,-310.0,-479.0,-118.0,-318.0,-444.0,-134.0,-311.0,-481.0
-133.0,-309.0,-486,-147.0,-309.0,-479.0,-114.0,-320.0,-457.0,-134.0,-312.0,-482.0
-134.0,-308.0,-486,-146.0,-309.0,-479.0,-113.0,-322.0,-472.0,-134.0,-312.0,-483.0
-135.0,-308.0,-488,-144.0,-308.0,-479.0,-112.0,-323.0,-487.0,-134.0,-312.0,-484.0
-136.0,-308.0,-487,-142.0,-307.0,-479.0,-110.0,-325.0,-500.0,-134.0,-312.0,-484.0
-137.0,-306.0,-486,-140.0,-307.0,-479.0,-107.0,-327.0,-514.0,-134.0,-312.0,-484.0
-136.0,-308.0,-486,-138.0,-305.0,-479.0,-103.0,-330.0,-505.0,-134.0,-312.0,-484.0
-135.0,-308.0,-486,-136.0,-304.0,-480.0,-99.0,-333.0,-499.0,-134.0,-312.0,-485.0
-134.0,-308.0,-487,-134.0,-303.0,-480.0,-93.0,-336.0,-495.0,-134.0,-312.0,-485.0
-133.0,-309.0,-488,-132.0,-303.0,-481.0,-100.0,-339.0,-491.0,-134.0,-312.0,-485.0
-133.0,-309.0,-487,-131.0,-302.0,-482.0,-108.0,-342.0,-489.0,-134.0,-312.0,-486.0
-132.0,-309.0,-487,-129.0,-300.0,-482.0,-117.0,-346.0,-488.0,-135.0,-313.0,-486.0
-132.0,-308.0,-486,-128.0,-302.0,-482.0,-124.0,-348.0,-488.0,-135.0,-313.0,-486.0
-132.0,-307.0,-485,-126.0,-303.0,-482.0,-132.0,-351.0,-488.0,-137.0,-313.0,-486.0
-132.0,-305.0,-483,-126.0,-303.0,-483.0,-134.0,-353.0,-489.0,-135.0,-313.0,-486.0
-132.0,-303.0,-482,-126.0,-303.0,-483.0,-137.0,-354.0,-489.0,-135.0,-314.0,-486.0
-132.0,-301.0,-481,-124.0,-304.0,-483.0,-138.0,-356.0,-490.0,-135.0,-313.0,-486.0
-132.0,-296.0,-480,-126.0,-304.0,-484.0,-138.0,-354.0,-492.0,-134.0,-313.0,-487.0
-129.0,-301.0,-477,-126.0,-304.0,-484.0,-139.0,-353.0,-493.0,-134.0,-313.0,-487.0
-132.0,-303.0,-481,-126.0,-305.0,-484.0,-139.0,-350.0,-493.0,-135.0,-313.0,-489.0
-134.0,-306.0,-482,-126.0,-306.0,-484.0,-140.0,-347.0,-494.0,-135.0,-312.0,-487.0
-135.0,-308.0,-484,-127.0,-306.0,-484.0,-141.0,-344.0,-496.0,-136.0,-311.0,-487.0
-132.0,-310.0,-486,-128.0,-306.0,-484.0,-142.0,-340.0,-497.0,-137.0,-309.0,-487.0
-129.0,-313.0,-487,-128.0,-307.0,-484.0,-143.0,-336.0,-499.0,-136.0,-308.0,-487.0
-125.0,-310.0,-488,-129.0,-307.0,-485.0,-144.0,-332.0,-501.0,-135.0,-308.0,-487.0
-121.0,-309.0,-489,-130.0,-307.0,-485.0,-145.0,-327.0,-504.0,-135.0,-307.0,-487.0
-116.0,-309.0,-488,-130.0,-307.0,-485.0,-146.0,-323.0,-507.0,-135.0,-304.0,-487.0
-120.0,-308.0,-487,-131.0,-307.0,-485.0,-148.0,-319.0,-511.0,-134.0,-306.0,-488.0
-122.0,-308.0,-487,-131.0,-307.0,-485.0,-149.0,-314.0,-514.0,-134.0,-307.0,-489.0
